date_time,value
2024-08-12 17:07:00,1.0
2024-08-12 17:08:00,4222.7444096363
2024-08-12 17:09:00,4221.906003210793
2024-08-12 17:10:00,4213.431040087061
2024-08-12 17:12:00,4209.2120830969725
2024-08-12 17:13:00,4216.791180539738
2024-08-12 17:14:00,4244.56595173996
2024-08-12 17:15:00,4233.929745714985
2024-08-12 17:17:00,4211.875912233964
2024-08-12 17:18:00,4261.661276555223
2024-08-12 17:19:00,4249.765392409508
2024-08-12 17:20:00,4220.164041779891
2024-08-12 17:21:00,4211.788932643815
2024-08-12 17:23:00,4218.165147569354
2024-08-12 17:24:00,4197.021210176966
2024-08-12 17:26:00,4188.473783302901
2024-08-12 17:27:00,4195.879029055318
2024-08-12 17:28:00,4113.889791455964
2024-08-12 17:29:00,4238.762853791868
2024-08-12 17:30:00,4156.710706862913
2024-08-12 17:32:00,4295.013395727863
2024-08-12 17:33:00,4135.96219107117
2024-08-12 17:34:00,4150.776693673005
2024-08-12 17:35:00,4145.595049101329
2024-08-12 17:36:00,4186.323500724632
2024-08-12 17:37:00,4167.717391358617
2024-08-12 17:38:00,4074.4268104481157
2024-08-12 17:39:00,4159.576222414798
2024-08-12 17:40:00,4172.049245056396
2024-08-12 17:41:00,4139.000163143776
2024-08-12 17:42:00,4166.190239666461
2024-08-12 17:43:00,4163.68713006337
2024-08-12 17:44:00,4192.479068395177
2024-08-12 17:45:00,4175.690761455804
2024-08-12 17:46:00,4178.911791613941
2024-08-12 17:47:00,4142.634897082826
2024-08-12 17:48:00,4100.940221104994
2024-08-12 17:49:00,4130.322463791413
2024-08-12 17:50:00,4137.480625189835
2024-08-12 17:51:00,4148.536072261621
2024-08-12 17:52:00,4068.1789809778716
2024-08-12 17:53:00,4054.6147115165522
2024-08-12 17:54:00,4008.3810106863593
2024-08-12 17:55:00,4006.9648722373513
2024-08-12 17:56:00,4068.9043016040932
2024-08-12 17:58:00,4032.094922652315
2024-08-12 17:59:00,4082.815484914165
2024-08-12 18:00:00,4032.213864053716
2024-08-12 18:01:00,4016.2774955627424
2024-08-12 18:02:00,4044.9203675851654
2024-08-12 18:03:00,4129.229350264385
2024-08-12 18:04:00,4085.9898359247013
2024-08-12 18:05:00,4027.2168870431783
2024-08-12 18:06:00,4050.9959439507925
2024-08-12 18:07:00,4064.7514253494373
2024-08-12 18:08:00,4060.0763956298665
2024-08-12 18:09:00,4004.8252226745653
2024-08-12 18:10:00,4011.615593559696
2024-08-12 18:28:00,4013.249018050804
2024-08-12 18:43:00,3990.419884091731
2024-08-12 18:44:00,3855.14082855481
2024-08-12 18:54:00,3802.583284562342
2024-08-12 18:55:00,3441.128935528757
2024-08-12 19:00:00,3342.283389639762
2024-08-12 19:12:00,3300.6500430025676
2024-08-12 19:16:00,3465.1056488300624
2024-08-12 19:29:00,3618.8739744480727
2024-08-12 19:31:00,3457.8068783638464
2024-08-12 19:32:00,3474.4650078456193
2024-08-12 19:44:00,3523.7854297429985
2024-08-12 20:51:00,3482.7058510281277
2024-08-12 20:52:00,3521.6079575814388
2024-08-12 20:53:00,3527.1867527730533
2024-08-12 20:54:00,3534.871869293548
2024-08-12 20:55:00,3552.341196101225
2024-08-12 20:56:00,3464.0876840769256
2024-08-12 20:57:00,3443.5246145569695
2024-08-12 20:58:00,3434.382630382096
2024-08-12 20:59:00,3484.4285521230067
2024-08-12 21:00:00,3518.1171309839087
2024-08-12 21:01:00,3507.0341911290907
2024-08-12 21:02:00,3471.0339660252976
2024-08-12 21:03:00,3454.9425939198622
2024-08-12 21:04:00,3449.600394227848
2024-08-12 21:05:00,3415.4263173441796
2024-08-12 21:06:00,3396.947268826998
2024-08-12 21:07:00,3514.045926222942
2024-08-12 21:08:00,3571.70974101554
2024-08-12 21:09:00,3617.9508117580954
2024-08-12 21:10:00,3551.1388922384954
2024-08-12 21:11:00,3535.7385975363914
2024-08-12 21:12:00,3503.0934294734107
2024-08-12 21:13:00,3507.4972165856516
2024-08-12 21:14:00,3423.8686530608816
2024-08-12 21:15:00,3545.249230384742
2024-08-12 21:16:00,3523.274652061943
