col,type,score,threshold,method,drift_detected,ref_count,cur_count,ref_missing_pct,cur_missing_pct,ref_mean,cur_mean,plant,strategy,metric
Nivel Ecualizador 1 (Tk 30m3),numeric,0.7349083438685209,0.55,mannwhitney,True,,,,,,,planta1,seasonal,mannwhitney
Nivel Ecualizador 2 (Tk 250m3),numeric,0.12244676631714632,0.55,mannwhitney,False,,,,,,,planta1,seasonal,mannwhitney
Turbidez salida DAF,numeric,0.23490493542549765,0.55,mannwhitney,False,,,,,,,planta1,seasonal,mannwhitney
pH Clarificado DAF (Tk 80m3),numeric,0.7610712426563546,0.55,mannwhitney,True,,,,,,,planta1,seasonal,mannwhitney
pH coagulación entrada DAF,numeric,0.9560248878312387,0.55,mannwhitney,True,,,,,,,planta1,seasonal,mannwhitney
pH entrada a Ecualizador 2 (Tk 250m3),numeric,0.0594605983986515,0.55,mannwhitney,False,,,,,,,planta1,seasonal,mannwhitney
pH salida a Parshall 02,numeric,0.7506655759648992,0.55,mannwhitney,True,,,,,,,planta1,seasonal,mannwhitney
pH salida y control Ecualizador 1,numeric,0.4490109318063509,0.55,mannwhitney,False,,,,,,,planta1,seasonal,mannwhitney
planta1_activa,categorical,4.405437658128626,0.2,mannwhitney,True,,,,,,,planta1,seasonal,mannwhitney
Conductividad DAF,numeric,3.061523155355955,0.2,psi,True,,,,,,,planta1,seasonal,psi
Flujo Parshall 01 entrada a Ecualizador 1,numeric,0.12387956173421455,0.2,psi,False,,,,,,,planta1,seasonal,psi
Flujo de envío a DAF,numeric,1.1229277062739333,0.2,psi,True,,,,,,,planta1,seasonal,psi
Nivel Clarificado DAF (Tk 80m3),numeric,6.720714194207176,0.2,psi,True,,,,,,,planta1,seasonal,psi
Nivel Ecualizador 1 (Tk 30m3),numeric,1.1843661156711953,0.2,psi,True,,,,,,,planta1,seasonal,psi
Nivel Ecualizador 2 (Tk 250m3),numeric,10.126487344209686,0.2,psi,True,,,,,,,planta1,seasonal,psi
Turbidez salida DAF,numeric,1.1606474712093022,0.2,psi,True,,,,,,,planta1,seasonal,psi
pH Clarificado DAF (Tk 80m3),numeric,12.445212205836283,0.2,psi,True,,,,,,,planta1,seasonal,psi
pH coagulación entrada DAF,numeric,5.9455334101137485,0.2,psi,True,,,,,,,planta1,seasonal,psi
pH entrada a Ecualizador 2 (Tk 250m3),numeric,4.73662972799524,0.2,psi,True,,,,,,,planta1,seasonal,psi
pH salida a Parshall 02,numeric,1.1737616166547447,0.2,psi,True,,,,,,,planta1,seasonal,psi
pH salida y control Ecualizador 1,numeric,9.025087734353706,0.2,psi,True,,,,,,,planta1,seasonal,psi
planta1_activa,categorical,4.405437658128626,0.2,psi,True,,,,,,,planta1,seasonal,psi
Conductividad DAF,numeric,63.33833488816247,83.68933995223277,wasserstein,False,,,,,,,planta1,seasonal,wasserstein
Flujo Parshall 01 entrada a Ecualizador 1,numeric,0.4840421126221031,1.1100186352166908,wasserstein,False,,,,,,,planta1,seasonal,wasserstein
Flujo de envío a DAF,numeric,1.3658211246073821,0.037607410246759884,wasserstein,True,,,,,,,planta1,seasonal,wasserstein
Nivel Clarificado DAF (Tk 80m3),numeric,20.27554672447491,1.8058476715559657,wasserstein,True,,,,,,,planta1,seasonal,wasserstein
Nivel Ecualizador 1 (Tk 30m3),numeric,5.970030699166074,3.644920522789632,wasserstein,True,,,,,,,planta1,seasonal,wasserstein
Nivel Ecualizador 2 (Tk 250m3),numeric,39.60116117100046,11.468172790610394,wasserstein,True,,,,,,,planta1,seasonal,wasserstein
Turbidez salida DAF,numeric,372.3201502701391,3.378992988012976,wasserstein,True,,,,,,,planta1,seasonal,wasserstein
pH Clarificado DAF (Tk 80m3),numeric,1.42776336426722,0.5179226762570808,wasserstein,True,,,,,,,planta1,seasonal,wasserstein
pH coagulación entrada DAF,numeric,0.9468769166877427,0.09688127295779426,wasserstein,True,,,,,,,planta1,seasonal,wasserstein
pH entrada a Ecualizador 2 (Tk 250m3),numeric,0.2278816441324038,0.05859491918838534,wasserstein,True,,,,,,,planta1,seasonal,wasserstein
pH salida a Parshall 02,numeric,1.695876122178345,0.5906658305222114,wasserstein,True,,,,,,,planta1,seasonal,wasserstein
pH salida y control Ecualizador 1,numeric,1.288550518275708,0.8533654275853945,wasserstein,True,,,,,,,planta1,seasonal,wasserstein
planta1_activa,categorical,4.405437658128626,0.2,wasserstein,True,,,,,,,planta1,seasonal,wasserstein
Flujo Afluente PTAR,numeric,0.13383494565118276,0.15,ks,False,,,,,,,planta2,decay,ks
Flujo Aire Reactor 2,numeric,0.7040096947429266,0.15,ks,True,,,,,,,planta2,decay,ks
Flujo Aire Reactor 3,numeric,0.14355458995105386,0.15,ks,False,,,,,,,planta2,decay,ks
Flujo Alimentación Digestor 1,numeric,0.07569563338344376,0.15,ks,False,,,,,,,planta2,decay,ks
Flujo Alimentación Digestor 2,numeric,0.02065799643781295,0.15,ks,False,,,,,,,planta2,decay,ks
Flujo Alimentación Digestor 3,numeric,0.03720458788757253,0.15,ks,False,,,,,,,planta2,decay,ks
Flujo Cámara de contacto 1,numeric,0.19003476965443378,0.15,ks,True,,,,,,,planta2,decay,ks
Flujo Cámara de contacto 2,numeric,0.1877467401350783,0.15,ks,True,,,,,,,planta2,decay,ks
Flujo Salida de Lodo Sedimentador Secundario 3,numeric,0.7483098026497794,0.15,ks,True,,,,,,,planta2,decay,ks
Nivel Pozo WAS,numeric,0.7946387612898909,0.15,ks,True,,,,,,,planta2,decay,ks
OD Reactor 1,numeric,0.21279140973240862,0.15,ks,True,,,,,,,planta2,decay,ks
Flujo Afluente PTAR,numeric,0.45730411291751777,0.55,mannwhitney,False,,,,,,,planta2,decay,mannwhitney
Flujo Aire Reactor 2,numeric,0.21344745574213955,0.55,mannwhitney,False,,,,,,,planta2,decay,mannwhitney
Flujo Aire Reactor 3,numeric,0.48828175531737783,0.55,mannwhitney,False,,,,,,,planta2,decay,mannwhitney
Flujo Alimentación Digestor 1,numeric,0.5295857037211371,0.55,mannwhitney,False,,,,,,,planta2,decay,mannwhitney
Flujo Alimentación Digestor 2,numeric,0.4896342037167725,0.55,mannwhitney,False,,,,,,,planta2,decay,mannwhitney
Flujo Alimentación Digestor 3,numeric,0.4962620878585073,0.55,mannwhitney,False,,,,,,,planta2,decay,mannwhitney
Flujo Cámara de contacto 1,numeric,0.5100932710100946,0.55,mannwhitney,False,,,,,,,planta2,decay,mannwhitney
Flujo Cámara de contacto 2,numeric,0.52882825732616,0.55,mannwhitney,False,,,,,,,planta2,decay,mannwhitney
Flujo Salida de Lodo Sedimentador Secundario 3,numeric,0.8732675119501503,0.55,mannwhitney,True,,,,,,,planta2,decay,mannwhitney
Nivel Pozo WAS,numeric,0.8857511264184015,0.55,mannwhitney,True,,,,,,,planta2,decay,mannwhitney
OD Reactor 1,numeric,0.40269015508623024,0.55,mannwhitney,False,,,,,,,planta2,decay,mannwhitney
Flujo Afluente PTAR,numeric,1.8957262398551034,0.2,psi,True,,,,,,,planta2,decay,psi
Flujo Aire Reactor 2,numeric,3.2161160028717006,0.2,psi,True,,,,,,,planta2,decay,psi
Flujo Aire Reactor 3,numeric,0.3113890494033683,0.2,psi,True,,,,,,,planta2,decay,psi
Flujo Alimentación Digestor 1,numeric,0.1391250512312175,0.2,psi,False,,,,,,,planta2,decay,psi
Flujo Alimentación Digestor 2,numeric,7.95189759299054e-05,0.2,psi,False,,,,,,,planta2,decay,psi
Flujo Alimentación Digestor 3,numeric,0.011254217532206926,0.2,psi,False,,,,,,,planta2,decay,psi
Flujo Cámara de contacto 1,numeric,1.7483881624445314,0.2,psi,True,,,,,,,planta2,decay,psi
Flujo Cámara de contacto 2,numeric,1.6684729967322651,0.2,psi,True,,,,,,,planta2,decay,psi
Flujo Salida de Lodo Sedimentador Secundario 3,numeric,9.242441071339416,0.2,psi,True,,,,,,,planta2,decay,psi
Nivel Pozo WAS,numeric,5.860370490053841,0.2,psi,True,,,,,,,planta2,decay,psi
OD Reactor 1,numeric,0.24158536280455475,0.2,psi,True,,,,,,,planta2,decay,psi
Flujo Afluente PTAR,numeric,250.61768367859085,487.10743716479266,wasserstein,False,,,,,,,planta2,decay,wasserstein
Flujo Aire Reactor 2,numeric,546.4028213791415,59.222090968884835,wasserstein,True,,,,,,,planta2,decay,wasserstein
Flujo Aire Reactor 3,numeric,136.19584928800543,1128.0285931614806,wasserstein,False,,,,,,,planta2,decay,wasserstein
Flujo Alimentación Digestor 1,numeric,0.10330124530965554,3.266309093793401,wasserstein,False,,,,,,,planta2,decay,wasserstein
Flujo Alimentación Digestor 2,numeric,0.001412153810464035,0.00808175904731686,wasserstein,False,,,,,,,planta2,decay,wasserstein
Flujo Alimentación Digestor 3,numeric,0.09783241126009205,3.2719560712553757,wasserstein,False,,,,,,,planta2,decay,wasserstein
Flujo Cámara de contacto 1,numeric,154.9634125265257,251.88192112225792,wasserstein,False,,,,,,,planta2,decay,wasserstein
Flujo Cámara de contacto 2,numeric,147.48410739187315,266.91278429356885,wasserstein,False,,,,,,,planta2,decay,wasserstein
Flujo Salida de Lodo Sedimentador Secundario 3,numeric,16.878055385756415,5.621714528875271,wasserstein,True,,,,,,,planta2,decay,wasserstein
Nivel Pozo WAS,numeric,0.3498360440070183,0.12071464289424351,wasserstein,True,,,,,,,planta2,decay,wasserstein
OD Reactor 1,numeric,1.3791115415106072,1.718869166711711,wasserstein,False,,,,,,,planta2,decay,wasserstein
Flujo Afluente PTAR,numeric,0.8162978812232543,0.15,ks,True,,,,,,,planta2,golden,ks
Flujo Aire Reactor 2,numeric,0.8287108389047413,0.15,ks,True,,,,,,,planta2,golden,ks
Flujo Aire Reactor 3,numeric,0.6644434747055401,0.15,ks,True,,,,,,,planta2,golden,ks
Flujo Alimentación Digestor 1,numeric,0.7073057030648281,0.15,ks,True,,,,,,,planta2,golden,ks
Flujo Alimentación Digestor 2,numeric,0.8446909667194928,0.15,ks,True,,,,,,,planta2,golden,ks
Flujo Alimentación Digestor 3,numeric,0.5038805469339821,0.15,ks,True,,,,,,,planta2,golden,ks
Flujo Cámara de contacto 1,numeric,0.7307735300693047,0.15,ks,True,,,,,,,planta2,golden,ks
Flujo Cámara de contacto 2,numeric,0.5884244629576431,0.15,ks,True,,,,,,,planta2,golden,ks
Flujo Salida de Lodo Sedimentador Secundario 3,numeric,1.0,0.15,ks,True,,,,,,,planta2,golden,ks
Nivel Pozo WAS,numeric,0.9911297289887369,0.15,ks,True,,,,,,,planta2,golden,ks
OD Reactor 1,numeric,1.0,0.15,ks,True,,,,,,,planta2,golden,ks
OD Reactor 2,categorical,0.9129187279622397,0.2,ks,True,,,,,,,planta2,golden,ks
Flujo Afluente PTAR,numeric,0.12006879935984413,0.55,mannwhitney,False,,,,,,,planta2,golden,mannwhitney
Flujo Aire Reactor 2,numeric,0.1418539833614303,0.55,mannwhitney,False,,,,,,,planta2,golden,mannwhitney
Flujo Aire Reactor 3,numeric,0.3256022864870815,0.55,mannwhitney,False,,,,,,,planta2,golden,mannwhitney
Flujo Alimentación Digestor 1,numeric,0.19240183512927694,0.55,mannwhitney,False,,,,,,,planta2,golden,mannwhitney
Flujo Alimentación Digestor 2,numeric,0.8999683042789224,0.55,mannwhitney,True,,,,,,,planta2,golden,mannwhitney
Flujo Alimentación Digestor 3,numeric,0.48464357017028775,0.55,mannwhitney,False,,,,,,,planta2,golden,mannwhitney
Flujo Cámara de contacto 1,numeric,0.2502045238463749,0.55,mannwhitney,False,,,,,,,planta2,golden,mannwhitney
Flujo Cámara de contacto 2,numeric,0.38163798839610386,0.55,mannwhitney,False,,,,,,,planta2,golden,mannwhitney
Flujo Salida de Lodo Sedimentador Secundario 3,numeric,1.0,0.55,mannwhitney,True,,,,,,,planta2,golden,mannwhitney
Nivel Pozo WAS,numeric,0.9956866458171941,0.55,mannwhitney,True,,,,,,,planta2,golden,mannwhitney
OD Reactor 1,numeric,0.0,0.55,mannwhitney,False,,,,,,,planta2,golden,mannwhitney
OD Reactor 2,categorical,0.9129187279622397,0.2,mannwhitney,True,,,,,,,planta2,golden,mannwhitney
Flujo Afluente PTAR,numeric,2.4882987993443355,0.2,psi,True,,,,,,,planta2,golden,psi
