col,type,score,threshold,method,drift_detected,ref_count,cur_count,ref_missing_pct,cur_missing_pct,ref_mean,cur_mean,plant,strategy,metric
Flujo Parshall 01 entrada a Ecualizador 1,numeric,0.110098314183178,0.15,ks,False,,,,,,,planta1,decay,ks
Flujo de envío a DAF,numeric,0.11370572989351524,0.15,ks,False,,,,,,,planta1,decay,ks
Nivel Clarificado DAF (Tk 80m3),numeric,0.4089665115808907,0.15,ks,True,,,,,,,planta1,decay,ks
Nivel Ecualizador 1 (Tk 30m3),numeric,0.5987919719127085,0.15,ks,True,,,,,,,planta1,decay,ks
Nivel Ecualizador 2 (Tk 250m3),numeric,0.2602515262151461,0.15,ks,True,,,,,,,planta1,decay,ks
Turbidez salida DAF,numeric,0.30748035611547814,0.15,ks,True,,,,,,,planta1,decay,ks
pH Clarificado DAF (Tk 80m3),numeric,0.43365114952879125,0.15,ks,True,,,,,,,planta1,decay,ks
pH coagulación entrada DAF,numeric,0.6420336177013221,0.15,ks,True,,,,,,,planta1,decay,ks
pH entrada a Ecualizador 2 (Tk 250m3),numeric,0.4874050664900338,0.15,ks,True,,,,,,,planta1,decay,ks
pH salida a Parshall 02,numeric,0.23246905599846776,0.15,ks,True,,,,,,,planta1,decay,ks
pH salida y control Ecualizador 1,numeric,0.7779834486662843,0.15,ks,True,,,,,,,planta1,decay,ks
planta1_activa,categorical,0.0026610872656746155,0.2,ks,False,,,,,,,planta1,decay,ks
Flujo Parshall 01 entrada a Ecualizador 1,numeric,0.5737069431952642,0.55,mannwhitney,True,,,,,,,planta1,decay,mannwhitney
Flujo de envío a DAF,numeric,0.5627234752305761,0.55,mannwhitney,True,,,,,,,planta1,decay,mannwhitney
Nivel Clarificado DAF (Tk 80m3),numeric,0.6206748270691625,0.55,mannwhitney,True,,,,,,,planta1,decay,mannwhitney
Nivel Ecualizador 1 (Tk 30m3),numeric,0.23093798382999636,0.55,mannwhitney,False,,,,,,,planta1,decay,mannwhitney
Nivel Ecualizador 2 (Tk 250m3),numeric,0.37131304338881305,0.55,mannwhitney,False,,,,,,,planta1,decay,mannwhitney
Turbidez salida DAF,numeric,0.6315363932424487,0.55,mannwhitney,True,,,,,,,planta1,decay,mannwhitney
pH Clarificado DAF (Tk 80m3),numeric,0.6779529102470074,0.55,mannwhitney,True,,,,,,,planta1,decay,mannwhitney
pH coagulación entrada DAF,numeric,0.6938361518322194,0.55,mannwhitney,True,,,,,,,planta1,decay,mannwhitney
pH entrada a Ecualizador 2 (Tk 250m3),numeric,0.21314342197784464,0.55,mannwhitney,False,,,,,,,planta1,decay,mannwhitney
pH salida a Parshall 02,numeric,0.5461745641593136,0.55,mannwhitney,False,,,,,,,planta1,decay,mannwhitney
pH salida y control Ecualizador 1,numeric,0.06208996768265366,0.55,mannwhitney,False,,,,,,,planta1,decay,mannwhitney
planta1_activa,categorical,0.0026610872656746155,0.2,mannwhitney,False,,,,,,,planta1,decay,mannwhitney
Flujo Parshall 01 entrada a Ecualizador 1,numeric,0.09069655456428824,0.2,psi,False,,,,,,,planta1,decay,psi
Flujo de envío a DAF,numeric,0.31084476388891813,0.2,psi,True,,,,,,,planta1,decay,psi
Nivel Clarificado DAF (Tk 80m3),numeric,2.1314393628801263,0.2,psi,True,,,,,,,planta1,decay,psi
Nivel Ecualizador 1 (Tk 30m3),numeric,6.724964984325773,0.2,psi,True,,,,,,,planta1,decay,psi
Nivel Ecualizador 2 (Tk 250m3),numeric,1.4833810967578636,0.2,psi,True,,,,,,,planta1,decay,psi
